country_name,country_code,indicator_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Algeria,DZA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,0.0,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),46.8,44.2,40.2,36.5,33.1,29.0,27.8,25.2,23.5,21.5,18.8,15.5,13.5,9.1,7.8,6.1,5.1,4.2,3.3,2.6,2.7,2.6,2.4,2.2,2.0
Europe & Central Asia (excluding high income),ECA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),7.6,6.9,6.2,5.9,5.1,5.0,4.4,4.0,3.7,3.7,3.8,3.6,3.6,1.1,1.2,1.2,1.0,1.0,0.8,0.8,0.8,0.8,0.7,0.6,0.5
Ecuador,ECU,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),34.1,,,18.9,19.4,15.4,10.9,10.9,9.8,9.3,7.8,6.4,6.0,4.5,4.0,4.8,5.0,4.3,4.7,4.6,8.4,5.3,4.4,4.7,7.3
"Egypt, Arab Rep.",EGY,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,4.1,,,,3.7,,1.5,,1.2,,,1.2,,3.1,,2.0,,1.4,,,
Euro area,EMU,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.9,,,0.9,1.0,0.9,0.9,0.6,0.6,0.9,0.7,1.3,1.0,1.3,0.9,1.1,1.3,0.8,1.0,0.9,1.1,0.7,0.8,0.8,
Estonia,EST,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),3.0,3.0,2.9,3.6,1.6,1.1,1.1,0.6,0.6,0.8,1.0,1.2,1.0,1.1,1.0,0.7,0.6,0.5,0.4,0.7,0.4,0.3,0.5,0.3,
Ethiopia,ETH,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,41.3,,,,,,37.4,,,,,33.0,,,,,,38.6,,,
European Union,EUU,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,51.5,51.1,50.0,47.0,45.2,44.0,42.6,41.4,40.5,38.8,38.5,37.6,36.9,36.5,36.6,37.0,36.9,36.9,,39.5,40.8,40.8,41.5,41.7
Finland,FIN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.0,,,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.2,
Fiji,FJI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,5.4,,,,,,3.8,,,,,1.6,,,,,,4.7,,,,,
France,FRA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.0,0.0,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,
Faroe Islands,FRO,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,15.8,,,,,,,,26.1,,,,,,,,,,,
Gabon,GAB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,9.2,,,,,,,,,,,,3.8,,,,,,,
United Kingdom,GBR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,,,
Georgia,GEO,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),35.0,36.7,22.3,22.3,20.9,22.3,22.5,23.9,21.7,21.1,23.6,21.6,18.8,14.9,12.0,10.6,10.5,11.1,11.0,9.7,12.0,10.8,7.7,5.8,4.2
